obj_id	 | ra	 | dec	 | type	 | Type Ref	 | ZSNID Subtype	 | Discovery Date	 | Discoverer	 | Discovery Ref	 | Host Name	 | Host Type	 | Galaxy Redshift	 | Galaxy Redshift Error | z | zerr	 | Reddening	 | Reddening Error	 
2013fd	 | 23.5028	 | -34.3946	 | II	 | CBET 3645	 | 	 | 2013-08-27	 | Parker	 | CBET 3645	 | ESO 353-G14	 | Sab: sp        HII	 | 0.012705	 | 0.000033	 | 	 | 0	 | 0.01596	 | 0	 
2013fe	 | 45.9719	 | -39.4056	 | Ia	 | CBET 3646	 | 	 | 2013-08-13	 | Antezana, Pignata et al. (CHASE)	 | CBET 3646	 | IC 1875	 | SAB(rs)0-:	 | 0.020321	 | 0.000107	 | 	 | 0	 | 0.01734	 | 0	 
2013ff	 | 138.412	 | 76.4697	 | Ic	 | CBET 3647	 | 	 | 2013-08-31	 | Belligoli, Castellani	 | CBET 3647	 | NGC 2748	 | SAbc           HII	 | 0.004923	 | 0.000007	 | 	 | 0	 | 0.0265	 | 0	 
2013fg	 | 125.343	 | -13.3103	 | Ia	 | CBET 3648	 | 	 | 2013-09-02	 | Parker	 | CBET 3648	 | NGC 2578	 | SB(r)0/a pec   AGN	 | 0.015347	 | 0.000033	 | 	 | 0	 | 0.06036	 | 0	 
2013fh	 | 65.4092	 | -17.9282	 | Ia	 | CBET 3651	 | 	 | 2013-08-30	 | Parker	 | CBET 3651	 | ESO 550-G26	 | 	 | 	 | 0	 | 	 | 0	 | 0.03816	 | 0	 
2013fi	 | 46.1607	 | 42.2304	 | Ia	 | CBET 3653	 | 	 | 2013-08-31	 | Xu, Gao	 | CBET 3653	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.13848	 | 0	 
2013fj	 | 333.869	 | 15.5678	 | Ia	 | CBET 3654	 | 	 | 2013-09-07	 | Ciabattari, Mazzoni, Carballo	 | CBET 3654	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.05517	 | 0	 
2013fk	 | 29.3898	 | -2.09922	 | Ia	 | CBET 3657	 | 	 | 2013-09-03	 | Ciabattari, Mazzoni, Simonetti	 | CBET 3657	 | UGC 1442	 | Sdm	 | 0.016475	 | 0.00015	 | 	 | 0	 | 0.02745	 | 0	 
2013fl	 | 263.415	 | 50.3737	 | IIP	 | CBET 3660	 | 	 | 2013-09-22	 | Boles	 | CBET 3660	 | UGC 10908	 | SBc/Irr	 | 0.019407	 | 0.000017	 | 	 | 0	 | 0.02396	 | 0	 
2013fm	 | 112.772	 | 57.9363	 | Ia	 | CBET 3661	 | 	 | 2013-09-06	 | Balanutsa (MASTER)	 | CBET 3661	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.06282	 | 0	 
2013fn	 | 315.099	 | -14.4978	 | Ia	 | CBET 3662	 | 	 | 2013-09-23	 | Howerton, Drake et al. (Catalina Real-time Transient Survey)	 | CBET 3662	 | IC 1342	 | Sc	 | 0.026975	 | 0.000053	 | 	 | 0	 | 0.03981	 | 0	 
2013fo	 | 20.1331	 | 12.0534	 | Ia	 | CBET 3663	 | 	 | 2013-09-24	 | Zhang, Wang, Chen (THU-NAOC Transient Survey)	 | CBET 3663	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.03532	 | 0	 
2013fp	 | 83.0302	 | -7.90661	 | IIP	 | CBET 3664	 | 	 | 2013-09-19	 | Zheng et al. (LOSS)	 | CBET 3664	 | IC 421	 | SAB(rs)bc	 | 0.011835	 | 0.000013	 | 	 | 0	 | 0.24387	 | 0	 
2013fq	 | 299.783	 | -55.9296	 | IIb	 | CBET 3665	 | 	 | 2013-09-15	 | Parker	 | CBET 3665	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.05031	 | 0	 
2013fr	 | 62.0098	 | 23.2943	 | IIn	 | CBET 3666	 | 	 | 2013-09-28	 | Howerton, Drake et al. (Catalina Real-time Transient Survey)	 | CBET 3666	 | MCG +04-10-24	 | E?	 | 0.020941	 | 0.000033	 | 	 | 0	 | 0.27067	 | 0	 
2013fs	 | 349.936	 | 10.1846	 | IIn?	 | CBET 3671	 | 	 | 2013-10-07	 | Itagaki	 | CBET 3671	 | NGC 7610	 | Scd:	 | 0.011855	 | 0.000017	 | 	 | 0	 | 0.03974	 | 0	 
2013ft	 | 355.397	 | 3.72514	 | IIP	 | CBET 3672	 | 	 | 2013-09-13	 | Fuller, Zheng et al. (LOSS)	 | CBET 3672	 | NGC 7732	 | Scd pec sp	 | 0.009697	 | 0.000007	 | 	 | 0	 | 0.05423	 | 0	 
2013fu	 | 358.625	 | 29.4299	 | Ib/c	 | CBET 3677	 | 	 | 2013-08-31	 | Hagen et al. (Swift satellite)	 | CBET 3677	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.04512	 | 0	 
2013fv	 | 54.0669	 | 67.571	 | II	 | CBET 3678	 | 	 | 2013-10-11	 | Kim, Casper, Zheng et al. (LOSS)	 | CBET 3678	 | UGC 2789	 | SB?	 | 0.010457	 | 0.000037	 | 	 | 0	 | 0.78446	 | 0	 
2013fw	 | 318.437	 | 13.5759	 | Ia	 | CBET 3681	 | 	 | 2013-10-21	 | Jin, Gao	 | CBET 3681	 | NGC 7042	 | Sb	 | 0.016952	 | 0.00003	 | 	 | 0	 | 0.07761	 | 0	 
2013fx	 | 345.841	 | -69.1885	 | Ia	 | CBET 3685	 | 	 | 2013-10-21	 | Pignata et al. (CHASE)	 | CBET 3685	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.03798	 | 0	 
2013fy	 | 324.363	 | -47.0319	 | Ia	 | CBET 3687	 | 	 | 2013-10-25	 | Parker	 | CBET 3687	 | ESO 287-G40	 | Ring?	 | 0.030868	 | 0.00007	 | 	 | 0	 | 0.02855	 | 0	 
2013fz	 | 65.9435	 | -51.5962	 | Ia	 | CBET 3692	 | 	 | 2013-11-02	 | Parker	 | CBET 3692	 | NGC 1578	 | SA(s)a pec:	 | 0.020608	 | 0.000087	 | 	 | 0	 | 0.01385	 | 0	 
2013G	 | 178.339	 | 20.7528	 | Ia	 | CBET 3381	 | 	 | 2013-01-05	 | Howerton, Drake et al. (Catalina Sky Survey)	 | CBET 3381	 | NGC 3947	 | (R)SB(rs)b     HII	 | 0.020671	 | 0.000017	 | 	 | 0	 | 0.03487	 | 0	 
2013ga	 | 331.09	 | 39.7428	 | Ia	 | CBET 3696	 | 	 | 2013-10-19	 | Rich, Harvey, Marion, Rosebush, Sawyer	 | CBET 3696	 | UGC 1189	 | S?	 | 0.018183	 | 0.00012	 | 	 | 0	 | 0.22843	 | 0	 
2013gb	 | 134.719	 | 41.5834	 | Ia	 | CBET 3698	 | 	 | 2013-10-31	 | Wang, Gao	 | CBET 3698	 | UGC 4700	 | Sb	 | 0.02829	 | 0.000037	 | 	 | 0	 | 0.02751	 | 0	 
2013gc	 | 121.799	 | -28.0573	 | IIn	 | CBET 3699	 | 	 | 2013-11-07	 | Antezana, Pignata et al.	 | CBET 3699	 | ESO 430-20	 | SAB(s)d?	 | 0.003402	 | 0.000007	 | 	 | 0	 | 0.45648	 | 0	 
2013gd	 | 57.2735	 | -3.05786	 | IIP	 | CBET 3700	 | 	 | 2013-11-09	 | Casper, Zheng, et al. (LOSS)	 | CBET 3700	 | MCG -01-10-39	 | Sb	 | 0.013413	 | 0.00013	 | 	 | 0	 | 0.13645	 | 0	 
2013ge	 | 158.702	 | 21.6616	 | Ic	 | CBET 3701	 | 	 | 2013-11-08	 | Itagaki	 | CBET 3701	 | NGC 3287	 | SB(s)d         HII	 | 0.004356	 | 0.00002	 | 	 | 0	 | 0.02005	 | 0	 
2013gf	 | 136.36	 | 56.4034	 | Ia	 | CBET 3702	 | 	 | 2013-11-06	 | Zhang, Wang et al. (THU-NAOC Transient Survey)	 | CBET 3702	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.03176	 | 0	 
2013gg	 | 140.284	 | 49.5927	 | IIP	 | CBET 3705	 | 	 | 2013-11-05	 | Jin, Gao	 | CBET 3705	 | UGC 4958	 | SB	 | 0.027424	 | 0.000097	 | 	 | 0	 | 0.02216	 | 0	 
2013gh	 | 330.591	 | -18.9168	 | Ia	 | CBET 3706	 | 	 | 2013-08-08	 | Hayakawa, Cenko et al. (LOSS)	 | CBET 3706	 | NGC 7183	 | S0+ pec sp     HII	 | 0.008789	 | 0.000017	 | 	 | 0	 | 0.02865	 | 0	 
2013gi	 | 95.947	 | -65.3301	 | Ia	 | CBET 3714	 | 	 | 2013-11-13	 | Parker	 | CBET 3714	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.06733	 | 0	 
2013gj	 | 40.2917	 | -21.0248	 | II	 | CBET 3716	 | 	 | 2013-11-10	 | Drake et al. (Catalina Real-time Transient Survey)	 | CBET 3716	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.02728	 | 0	 
2013gk	 | 280.554	 | -49.7436	 | IIb	 | CBET 3717	 | 	 | 2013-10-28	 | Parker	 | CBET 3717	 | ESO 230-G6	 | SB(s)c: pec	 | 0.017698	 | 0.000021	 | 	 | 0	 | 0.07735	 | 0	 
2013gl	 | 172.752	 | 20.4695	 | Ib	 | CBET 3725	 | 	 | 2013-05-09	 | Lu, Cenko et al. (LOSS)	 | CBET 3725	 | IC 701	 | SB(rs)dm pec	 | 0.020488	 | 0.000023	 | 	 | 0	 | 0.01639	 | 0	 
2013gm	 | 173.588	 | 15.6592	 | IIP	 | CBET 3726	 | 	 | 2013-11-20	 | Zhang, Wang et al. (THU-NAOC Transient Survey)	 | CBET 3726	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.0411	 | 0	 
2013gn	 | 214.619	 | 36.5068	 | Ia	 | CBET 3727	 | 	 | 2013-11-16	 | Itagaki	 | CBET 3727	 | NGC 5557	 | E1	 | 0.010717	 | 0.000043	 | 	 | 0	 | 0.01	 | 0	 
2013go	 | 51.936	 | -28.4871	 | Ia	 | CBET 3728	 | 	 | 2013-10-21	 | Takats, Pignata et al. (SUDARE/VOICE)	 | CBET 3728	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.00852	 | 0	 
2013gp	 | 51.7313	 | -28.7794	 | Ia	 | CBET 3728	 | 	 | 2013-10-21	 | Takats, Pignata et al. (SUDARE/VOICE)	 | CBET 3728	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.01401	 | 0	 
2013gq	 | 124.473	 | 23.4696	 | Ia	 | CBET 3730	 | 	 | 2013-03-25	 | Blanchard, Zheng, Cenko et al. (LOSS)	 | CBET 3730	 | NGC 2554	 | S0/a	 | 0.01387	 | 0.000033	 | 	 | 0	 | 0.0556	 | 0	 
2013gr	 | 26.6162	 | -58.6733	 | Ia-pec	 | CBET 3733	 | 	 | 2013-11-28	 | Marples	 | CBET 3733	 | ESO 114-G7	 | SB(s)m	 | 0.007385	 | 0.000013	 | 	 | 0	 | 0.02345	 | 0	 
2013gs	 | 142.787	 | 46.3848	 | Ia	 | CBET 3734	 | 	 | 2013-11-29	 | Zhang, Wang et al. (THU-NAOC Transient Survey)	 | CBET 3734	 | UGC 5066	 | SBbc	 | 0.016888	 | 0.000087	 | 	 | 0	 | 0.0184	 | 0	 
2013gt	 | 110.382	 | 55.7589	 | Ia	 | CBET 3737	 | 	 | 2013-11-16	 | Sun, Jin, Gao (Xingming Sky Survey)	 | CBET 3737	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.0758	 | 0	 
2013gu	 | 26.6595	 | 4.22344	 | IIP	 | CBET 3738	 | 	 | 2013-12-05	 | Shurpakov (MASTER)	 | CBET 3738	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.02957	 | 0	 
2013gv	 | 47.4888	 | 19.2137	 | Ia	 | CBET 3739	 | 	 | 2013-12-04	 | Shima	 | CBET 3739	 | IC 1890	 | 	 | 0.03412	 | 0	 | 	 | 0	 | 0.16596	 | 0	 
2013gw	 | 200.702	 | 33.5057	 | Ia	 | CBET 3740	 | 	 | 2013-11-28	 | Shurpakov	 | CBET 3740	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.01163	 | 0	 
2013gx	 | 15.597	 | 20.5559	 | IIP	 | CBET 3742	 | 	 | 2013-11-29	 | Balanutsa (MASTER)	 | CBET 3742	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.02978	 | 0	 
2013gy	 | 55.5703	 | -4.72181	 | Ia	 | CBET 3743	 | 	 | 2013-12-06	 | Kim, Zheng et al. (LOSS)	 | CBET 3743	 | NGC 1418	 | SB(s)b:	 | 0.014023	 | 0.00002	 | 	 | 0	 | 0.05771	 | 0	 
2013gz	 | 266.615	 | 30.7037	 | Ia	 | CBET 3744	 | 	 | 2013-12-02	 | Cortini	 | CBET 3744	 | UGC 10976	 | SB	 | 0.016401	 | 0.000067	 | 	 | 0	 | 0.05221	 | 0	 
2013H	 | 136.628	 | -75.8171	 | Ia	 | CBET 3385	 | 	 | 2013-01-06	 | Parker	 | CBET 3385	 | ESO 36-G19	 | (R')SAB(rs)c	 | 0.015487	 | 0.000023	 | 	 | 0	 | 0.13206	 | 0	 
2013ha	 | 93.9577	 | 66.8387	 | IIn	 | CBET 3745	 | 	 | 2013-11-06	 | Gagliano, Newton, Puckett	 | CBET 3745	 | MCG +11-8-25	 | S?	 | 0.013599	 | 0.00007	 | 	 | 0	 | 0.10747	 | 0	 
2013hb	 | 27.693	 | 33.1099	 | Ia?	 | CBET 3746	 | 	 | 2013-10-07	 | Howerton, Drake et al. (Catalina Real-time Transient Survey)	 | CBET 3746	 | Anon.	 | 	 | 	 | 0	 | 	 | 0	 | 0.04663	 | 0	 
