	u*	g'	r'	I'	z'
652.0	0.00	0.00	86.96	0.09	0.00
652.5	0.00	0.00	86.51	0.09	0.00
653.0	0.00	0.00	86.08	0.10	0.00
653.5	0.00	0.00	85.62	0.11	0.00
654.0	0.00	0.00	85.16	0.11	0.00
654.5	0.00	0.00	84.69	0.12	0.00
655.0	0.00	0.00	84.21	0.13	0.00
655.5	0.00	0.00	83.75	0.14	0.00
656.0	0.00	0.00	83.26	0.14	0.00
656.5	0.00	0.00	82.80	0.15	0.00
657.0	0.00	0.00	82.32	0.16	0.00
657.5	0.00	0.00	81.83	0.17	0.00
658.0	0.00	0.01	81.34	0.18	0.00
658.5	0.00	0.01	80.84	0.19	0.00
659.0	0.00	0.01	80.32	0.20	0.00
659.5	0.00	0.01	79.81	0.22	0.00
660.0	0.00	0.01	79.29	0.23	0.00
660.5	0.00	0.01	78.75	0.25	0.00
661.0	0.00	0.01	78.22	0.26	0.00
661.5	0.00	0.00	77.67	0.28	0.00
662.0	0.00	0.00	77.14	0.30	0.00
662.5	0.00	0.00	76.62	0.32	0.00
663.0	0.00	0.00	76.11	0.34	0.00
663.5	0.00	0.00	75.63	0.36	0.00
664.0	0.00	0.00	75.16	0.38	0.00
664.5	0.00	0.00	74.72	0.41	0.00
665.0	0.00	0.00	74.32	0.43	0.00
665.5	0.00	0.00	73.95	0.47	0.00
666.0	0.00	0.00	73.63	0.50	0.00
666.5	0.00	0.00	73.36	0.53	0.00
667.0	0.00	0.00	73.14	0.57	0.00
667.5	0.00	0.00	72.97	0.61	0.00
668.0	0.00	0.00	72.83	0.65	0.00
668.5	0.00	0.00	72.73	0.70	0.00
669.0	0.00	0.00	72.66	0.74	0.00
669.5	0.00	0.00	72.64	0.80	0.00
670.0	0.00	0.00	72.64	0.85	0.00
670.5	0.00	0.00	72.66	0.91	0.00
671.0	0.00	0.00	72.71	0.98	0.00
671.5	0.00	0.00	72.78	1.06	0.00
672.0	0.00	0.00	72.88	1.13	0.00
672.5	0.00	0.00	73.02	1.22	0.00
673.0	0.00	0.00	73.19	1.31	0.00
673.5	0.00	0.00	73.42	1.41	0.00
674.0	0.00	0.00	73.69	1.52	0.00
674.5	0.00	0.00	74.03	1.64	0.00
675.0	0.00	0.00	74.43	1.77	0.00
675.5	0.00	0.00	74.89	1.90	0.00
676.0	0.00	0.00	75.42	2.06	0.00
676.5	0.00	0.00	75.95	2.23	0.00
677.0	0.00	0.00	76.46	2.40	0.00
677.5	0.00	0.00	76.91	2.60	0.00
678.0	0.00	0.00	77.19	2.81	0.00
678.5	0.00	0.00	77.29	3.04	0.00
679.0	0.00	0.00	77.07	3.29	0.00
679.5	0.00	0.00	76.54	3.56	0.00
680.0	0.00	0.00	75.63	3.87	0.00
680.5	0.00	0.00	74.34	4.19	0.00
681.0	0.00	0.00	72.72	4.54	0.00
681.5	0.00	0.00	70.72	4.93	0.00
682.0	0.00	0.00	68.47	5.34	0.00
682.5	0.00	0.00	65.95	5.79	0.00
683.0	0.00	0.00	63.17	6.29	0.00
683.5	0.00	0.00	60.30	6.82	0.00
684.0	0.00	0.00	57.16	7.41	0.00
684.5	0.00	0.00	54.03	8.04	0.00
685.0	0.00	0.00	50.77	8.73	0.00
685.5	0.00	0.00	47.33	9.49	0.00
686.0	0.00	0.00	43.85	10.29	0.00
686.5	0.00	0.00	40.16	11.18	0.00
687.0	0.00	0.00	36.28	12.15	0.00
687.5	0.00	0.00	32.36	13.19	0.00
688.0	0.00	0.00	28.45	14.30	0.00
688.5	0.00	0.00	24.74	15.47	0.00
689.0	0.00	0.00	21.27	16.72	0.00
689.5	0.00	0.00	18.10	18.06	0.00
690.0	0.00	0.00	15.32	19.48	0.00
690.5	0.00	0.00	12.92	20.99	0.00
691.0	0.00	0.00	10.89	22.59	0.00
691.5	0.00	0.00	9.21	24.24	0.00
692.0	0.00	0.00	7.80	26.01	0.00
692.5	0.00	0.00	6.64	27.84	0.00
693.0	0.00	0.00	5.67	29.75	0.00
693.5	0.00	0.00	4.86	31.77	0.00
694.0	0.00	0.00	4.18	33.83	0.00
694.5	0.00	0.00	3.62	35.96	0.00
695.0	0.00	0.00	3.14	38.15	0.00
695.5	0.00	0.00	2.75	40.33	0.00
696.0	0.00	0.00	2.41	42.59	0.00
696.5	0.00	0.00	2.12	44.83	0.00
697.0	0.00	0.00	1.88	47.13	0.00
697.5	0.00	0.00	1.66	49.50	0.00
698.0	0.00	0.00	1.47	51.83	0.00
698.5	0.00	0.00	1.30	54.18	0.00
699.0	0.00	0.00	1.16	56.51	0.00
699.5	0.00	0.00	1.04	58.79	0.00
700.0	0.00	0.00	0.93	61.10	0.00
700.5	0.00	0.00	0.83	63.34	0.00
701.0	0.00	0.00	0.74	65.52	0.00
701.5	0.00	0.00	0.67	67.72	0.00
702.0	0.00	0.00	0.60	69.80	0.00
702.5	0.00	0.00	0.54	71.88	0.00
703.0	0.00	0.00	0.49	73.85	0.00
703.5	0.00	0.00	0.44	75.74	0.00
704.0	0.00	0.00	0.40	77.60	0.00
704.5	0.00	0.00	0.36	79.31	0.00
705.0	0.00	0.00	0.33	80.95	0.00
705.5	0.00	0.00	0.30	82.53	0.00
706.0	0.00	0.00	0.27	83.96	0.00
706.5	0.00	0.00	0.25	85.35	0.00
707.0	0.00	0.00	0.23	86.61	0.00
707.5	0.00	0.00	0.21	87.77	0.00
708.0	0.00	0.00	0.19	88.86	0.00
708.5	0.00	0.00	0.17	89.83	0.00
709.0	0.00	0.00	0.16	90.72	0.00
709.5	0.00	0.00	0.15	91.51	0.00
710.0	0.00	0.00	0.14	92.19	0.00
710.5	0.00	0.00	0.13	92.79	0.00
711.0	0.00	0.00	0.12	93.31	0.00
711.5	0.00	0.00	0.11	93.76	0.00
712.0	0.00	0.00	0.10	94.15	0.00
712.5	0.00	0.00	0.09	94.48	0.00
713.0	0.00	0.00	0.09	94.73	0.00
713.5	0.00	0.00	0.08	94.95	0.00
714.0	0.00	0.00	0.08	95.13	0.00
714.5	0.00	0.00	0.07	95.27	0.00
715.0	0.00	0.00	0.07	95.36	0.00
715.5	0.00	0.00	0.06	95.43	0.00
716.0	0.00	0.00	0.06	95.48	0.00
716.5	0.00	0.00	0.06	95.51	0.00
717.0	0.00	0.00	0.05	95.51	0.00
717.5	0.00	0.00	0.05	95.50	0.00
718.0	0.01	0.00	0.05	95.47	0.00
718.5	0.01	0.00	0.05	95.45	0.00
719.0	0.01	0.00	0.04	95.41	0.00
719.5	0.01	0.00	0.04	95.37	0.00
720.0	0.00	0.00	0.04	95.33	0.00
720.5	0.00	0.00	0.04	95.29	0.00
721.0	0.00	0.00	0.04	95.26	0.00
721.5	0.01	0.00	0.03	95.20	0.01
722.0	0.01	0.00	0.03	95.16	0.00
722.5	0.01	0.00	0.03	95.13	0.00
723.0	0.02	0.00	0.03	95.09	0.00
723.5	0.02	0.00	0.03	95.07	0.00
724.0	0.03	0.00	0.03	95.04	0.00
724.5	0.03	0.00	0.03	95.02	0.00
725.0	0.02	0.00	0.02	95.00	0.00
725.5	0.01	0.00	0.02	95.00	0.00
726.0	0.00	0.00	0.02	94.99	0.00
726.5	0.00	0.00	0.02	94.99	0.00
727.0	0.00	0.00	0.02	94.99	0.00
727.5	0.00	0.00	0.02	94.99	0.00
728.0	0.00	0.00	0.02	95.02	0.00
728.5	0.00	0.00	0.02	95.02	0.01
729.0	0.00	0.00	0.02	95.04	0.01
729.5	0.00	0.00	0.02	95.06	0.00
730.0	0.00	0.00	0.02	95.10	0.01
730.5	0.00	0.00	0.01	95.12	0.00
731.0	0.00	0.00	0.01	95.15	0.01
731.5	0.00	0.00	0.01	95.19	0.01
732.0	0.00	0.00	0.01	95.22	0.01
732.5	0.00	0.00	0.01	95.23	0.01
733.0	0.00	0.00	0.01	95.28	0.01
733.5	0.00	0.00	0.01	95.30	0.01
734.0	0.00	0.00	0.01	95.34	0.01
734.5	0.00	0.00	0.01	95.36	0.00
735.0	0.00	0.00	0.01	95.38	0.01
735.5	0.00	0.00	0.01	95.39	0.01
736.0	0.00	0.00	0.01	95.43	0.01
736.5	0.00	0.00	0.01	95.43	0.01
737.0	0.00	0.00	0.01	95.44	0.01
737.5	0.00	0.00	0.01	95.46	0.01
738.0	0.01	0.00	0.01	95.46	0.01
738.5	0.01	0.00	0.01	95.47	0.01
739.0	0.01	0.00	0.01	95.47	0.01
739.5	0.01	0.00	0.01	95.46	0.01
740.0	0.01	0.00	0.01	95.43	0.01
740.5	0.01	0.00	0.01	95.42	0.01
741.0	0.01	0.00	0.01	95.40	0.01
741.5	0.02	0.00	0.01	95.37	0.01
742.0	0.02	0.00	0.01	95.33	0.01
742.5	0.01	0.00	0.01	95.29	0.01
743.0	0.01	0.00	0.01	95.25	0.01
743.5	0.00	0.00	0.01	95.21	0.01
744.0	0.00	0.00	0.01	95.17	0.01
744.5	0.00	0.00	0.01	95.10	0.01
745.0	0.00	0.00	0.01	95.04	0.01
745.5	0.00	0.00	0.01	94.97	0.01
746.0	0.00	0.00	0.01	94.92	0.01
746.5	0.00	0.00	0.01	94.85	0.01
747.0	0.00	0.00	0.01	94.79	0.01
747.5	0.00	0.00	0.01	94.70	0.01
748.0	0.00	0.00	0.01	94.63	0.01
748.5	0.00	0.00	0.01	94.57	0.01
749.0	0.00	0.00	0.01	94.48	0.01
749.5	0.00	0.00	0.01	94.41	0.01
750.0	0.00	0.00	0.01	94.33	0.01
750.5	0.00	0.00	0.01	94.26	0.01
751.0	0.00	0.00	0.01	94.18	0.01
751.5	0.00	0.01	0.01	94.12	0.01
752.0	0.00	0.01	0.01	94.05	0.01
752.5	0.00	0.01	0.00	93.98	0.01
753.0	0.00	0.01	0.00	93.91	0.01
753.5	0.00	0.01	0.00	93.85	0.01
754.0	0.00	0.01	0.00	93.79	0.01
754.5	0.00	0.01	0.00	93.74	0.01
755.0	0.00	0.01	0.00	93.71	0.01
755.5	0.00	0.01	0.00	93.66	0.01
756.0	0.01	0.01	0.00	93.62	0.01
756.5	0.01	0.01	0.00	93.60	0.01
757.0	0.01	0.01	0.00	93.57	0.01
757.5	0.01	0.01	0.00	93.56	0.01
758.0	0.01	0.01	0.00	93.55	0.02
758.5	0.01	0.01	0.00	93.55	0.01
759.0	0.01	0.01	0.00	93.55	0.02
759.5	0.01	0.01	0.00	93.58	0.02
760.0	0.01	0.01	0.00	93.60	0.02
760.5	0.01	0.01	0.00	93.62	0.02
761.0	0.01	0.01	0.00	93.67	0.02
761.5	0.02	0.01	0.00	93.71	0.02
762.0	0.02	0.01	0.00	93.76	0.02
762.5	0.03	0.02	0.00	93.82	0.02
763.0	0.02	0.02	0.00	93.88	0.02
763.5	0.01	0.02	0.00	93.97	0.02
764.0	0.00	0.02	0.00	94.05	0.02
764.5	0.00	0.02	0.00	94.13	0.02
765.0	0.00	0.02	0.00	94.22	0.02
765.5	0.00	0.01	0.00	94.33	0.02
766.0	0.00	0.01	0.00	94.43	0.03
766.5	0.00	0.01	0.00	94.55	0.03
767.0	0.00	0.01	0.00	94.67	0.03
767.5	0.00	0.01	0.00	94.77	0.03
768.0	0.00	0.01	0.00	94.90	0.03
768.5	0.00	0.01	0.00	95.03	0.03
769.0	0.00	0.01	0.00	95.15	0.03
769.5	0.00	0.01	0.00	95.29	0.03
770.0	0.00	0.01	0.00	95.41	0.03
770.5	0.00	0.01	0.00	95.54	0.04
771.0	0.00	0.01	0.00	95.67	0.04
771.5	0.00	0.01	0.00	95.79	0.04
772.0	0.00	0.01	0.00	95.94	0.04
772.5	0.00	0.00	0.00	96.04	0.04
773.0	0.00	0.00	0.00	96.18	0.04
773.5	0.00	0.00	0.00	96.28	0.05
774.0	0.00	0.00	0.00	96.40	0.05
774.5	0.00	0.00	0.00	96.50	0.05
775.0	0.00	0.00	0.00	96.59	0.05
775.5	0.00	0.00	0.00	96.69	0.06
776.0	0.00	0.00	0.00	96.79	0.06
776.5	0.01	0.00	0.00	96.83	0.06
777.0	0.01	0.00	0.00	96.88	0.06
777.5	0.01	0.00	0.00	96.95	0.07
778.0	0.02	0.00	0.00	96.98	0.07
778.5	0.02	0.00	0.00	97.03	0.07
779.0	0.02	0.00	0.00	97.03	0.08
779.5	0.01	0.00	0.00	97.04	0.08
780.0	0.01	0.00	0.00	97.06	0.09
780.5	0.01	0.00	0.00	97.04	0.09
781.0	0.02	0.00	0.00	97.00	0.09
781.5	0.03	0.00	0.00	96.98	0.10
782.0	0.05	0.00	0.00	96.92	0.10
782.5	0.07	0.00	0.00	96.87	0.11
783.0	0.07	0.00	0.00	96.81	0.12
783.5	0.06	0.00	0.00	96.73	0.12
784.0	0.04	0.00	0.00	96.65	0.13
784.5	0.02	0.00	0.00	96.54	0.14
785.0	0.00	0.00	0.00	96.42	0.14
785.5	0.00	0.00	0.00	96.33	0.15
786.0	0.00	0.00	0.00	96.20	0.16
786.5	0.00	0.00	0.00	96.08	0.17
787.0	0.00	0.00	0.00	95.94	0.18
787.5	0.00	0.00	0.00	95.80	0.19
788.0	0.00	0.00	0.00	95.67	0.20
788.5	0.00	0.00	0.00	95.53	0.22
789.0	0.00	0.00	0.00	95.40	0.23
789.5	0.00	0.00	0.00	95.25	0.24
790.0	0.00	0.00	0.00	95.10	0.26
790.5	0.00	0.00	0.00	94.97	0.28
791.0	0.00	0.00	0.00	94.83	0.29
791.5	0.00	0.00	0.00	94.68	0.31
792.0	0.00	0.00	0.00	94.56	0.33
792.5	0.00	0.01	0.00	94.43	0.35
793.0	0.00	0.00	0.00	94.31	0.38
793.5	0.00	0.00	0.00	94.20	0.40
794.0	0.00	0.00	0.00	94.08	0.43
794.5	0.00	0.00	0.00	94.00	0.46
795.0	0.00	0.00	0.00	93.89	0.49
795.5	0.00	0.00	0.00	93.80	0.53
796.0	0.00	0.00	0.00	93.73	0.56
796.5	0.00	0.00	0.00	93.67	0.60
797.0	0.00	0.00	0.00	93.61	0.65
797.5	0.00	0.00	0.00	93.57	0.70
798.0	0.00	0.00	0.00	93.55	0.75
798.5	0.00	0.00	0.00	93.54	0.80
799.0	0.00	0.00	0.00	93.52	0.87
799.5	0.02	0.04	0.05	93.64	1.13
800.0	0.01	0.04	0.05	93.63	1.22
800.5	0.02	0.04	0.06	93.61	1.31
801.0	0.02	0.04	0.06	93.62	1.41
801.5	0.02	0.04	0.06	93.62	1.51
802.0	0.02	0.04	0.06	93.63	1.63
802.5	0.02	0.04	0.05	93.63	1.76
803.0	0.01	0.04	0.06	93.64	1.91
803.5	0.02	0.04	0.06	93.65	2.07
804.0	0.02	0.04	0.06	93.65	2.24
804.5	0.02	0.04	0.06	93.66	2.41
805.0	0.02	0.04	0.06	93.65	2.61
805.5	0.02	0.04	0.06	93.65	2.83
806.0	0.02	0.04	0.06	93.64	3.10
806.5	0.01	0.04	0.06	93.60	3.38
807.0	0.02	0.04	0.06	93.58	3.67
807.5	0.01	0.04	0.05	93.53	3.98
808.0	0.01	0.04	0.06	93.47	4.33
808.5	0.01	0.04	0.06	93.39	4.73
809.0	0.01	0.04	0.06	93.29	5.20
809.5	0.01	0.04	0.05	93.16	5.71
810.0	0.01	0.04	0.06	93.02	6.25
810.5	0.01	0.04	0.05	92.86	6.83
811.0	0.01	0.05	0.05	92.68	7.43
811.5	0.01	0.05	0.05	92.48	8.11
812.0	0.01	0.05	0.06	92.24	8.91
812.5	0.01	0.05	0.06	91.96	9.82
813.0	0.01	0.05	0.06	91.66	10.74
813.5	0.01	0.05	0.06	91.34	11.72
814.0	0.01	0.05	0.06	91.01	12.76
814.5	0.01	0.05	0.06	90.65	13.91
815.0	0.01	0.05	0.05	90.26	15.16
815.5	0.01	0.05	0.06	89.81	16.63
816.0	0.01	0.05	0.06	89.32	18.16
816.5	0.01	0.05	0.06	88.84	19.72
817.0	0.01	0.05	0.06	88.36	21.32
817.5	0.01	0.06	0.06	87.86	23.03
818.0	0.01	0.06	0.06	87.32	24.90
818.5	0.01	0.05	0.06	86.75	26.96
819.0	0.01	0.06	0.06	86.14	29.15
819.5	0.02	0.06	0.06	85.54	31.35
820.0	0.02	0.06	0.06	84.97	33.51
820.5	0.02	0.06	0.06	84.39	35.73
821.0	0.02	0.06	0.06	83.82	38.01
821.5	0.02	0.06	0.06	83.21	40.50
822.0	0.02	0.06	0.06	82.55	43.19
822.5	0.02	0.06	0.05	81.96	45.71
823.0	0.02	0.06	0.06	81.39	48.15
823.5	0.02	0.06	0.06	80.85	50.54
824.0	0.02	0.07	0.06	80.30	53.03
824.5	0.02	0.07	0.06	79.77	55.50
825.0	0.02	0.07	0.06	79.22	58.09
825.5	0.03	0.07	0.06	78.70	60.57
826.0	0.03	0.07	0.06	78.23	62.89
826.5	0.03	0.07	0.06	77.79	65.06
827.0	0.03	0.07	0.06	77.39	67.17
827.5	0.03	0.07	0.06	77.00	69.28
828.0	0.03	0.07	0.06	76.62	71.37
828.5	0.03	0.07	0.06	76.26	73.38
829.0	0.03	0.07	0.06	75.94	75.17
829.5	0.03	0.07	0.05	75.67	76.77
830.0	0.03	0.07	0.06	75.41	78.27
830.5	0.03	0.07	0.06	75.17	79.69
831.0	0.03	0.07	0.05	74.94	81.10
831.5	0.03	0.07	0.06	74.71	82.35
832.0	0.03	0.07	0.06	74.50	83.49
832.5	0.03	0.07	0.06	74.29	84.45
833.0	0.03	0.07	0.06	74.08	85.29
833.5	0.03	0.07	0.06	73.84	86.07
834.0	0.03	0.07	0.06	73.58	86.79
834.5	0.03	0.07	0.06	73.24	87.47
835.0	0.03	0.08	0.06	72.86	88.01
835.5	0.03	0.08	0.06	72.43	88.45
836.0	0.03	0.08	0.06	71.94	88.83
836.5	0.03	0.08	0.06	71.36	89.15
837.0	0.03	0.08	0.06	70.68	89.43
837.5	0.03	0.08	0.06	69.84	89.67
838.0	0.03	0.08	0.06	68.80	89.87
838.5	0.03	0.08	0.06	67.69	90.02
839.0	0.03	0.09	0.06	66.48	90.15
839.5	0.03	0.09	0.06	65.15	90.24
840.0	0.03	0.09	0.06	63.66	90.33
840.5	0.02	0.09	0.06	61.97	90.41
841.0	0.02	0.09	0.06	59.98	90.47
841.5	0.02	0.09	0.06	57.91	90.53
842.0	0.02	0.09	0.06	55.84	90.58
842.5	0.02	0.09	0.06	53.73	90.63
843.0	0.02	0.09	0.06	51.42	90.70
843.5	0.01	0.10	0.06	48.96	90.76
844.0	0.01	0.10	0.06	46.37	90.84
844.5	0.01	0.10	0.06	43.71	90.91
845.0	0.01	0.10	0.06	41.17	91.00
845.5	0.01	0.09	0.06	38.76	91.09
846.0	0.01	0.10	0.06	36.39	91.17
846.5	0.01	0.09	0.06	33.90	91.29
847.0	0.01	0.10	0.06	31.34	91.41
847.5	0.01	0.09	0.06	28.92	91.54
848.0	0.01	0.10	0.06	26.67	91.67
848.5	0.01	0.09	0.06	24.59	91.78
849.0	0.01	0.09	0.06	22.65	91.91
849.5	0.00	0.09	0.06	20.82	92.04
850.0	0.00	0.09	0.06	18.95	92.18
850.5	0.00	0.09	0.06	17.17	92.32
851.0	0.00	0.09	0.06	15.62	92.46
851.5	0.00	0.08	0.06	14.23	92.58
852.0	0.00	0.09	0.06	12.99	92.71
852.5	0.00	0.08	0.06	11.84	92.83
853.0	0.00	0.08	0.06	10.77	92.94
853.5	0.00	0.08	0.06	9.69	93.06
854.0	0.00	0.08	0.06	8.80	93.16
854.5	0.00	0.08	0.06	8.02	93.24
855.0	0.00	0.08	0.06	7.31	93.32
855.5	0.00	0.08	0.06	6.67	93.39
856.0	0.00	0.08	0.06	6.08	93.44
856.5	0.00	0.08	0.06	5.54	93.49
857.0	0.00	0.08	0.06	5.02	93.53
857.5	0.00	0.07	0.06	4.59	93.55
858.0	0.00	0.08	0.06	4.22	93.57
858.5	0.00	0.08	0.06	3.88	93.57
859.0	0.00	0.08	0.06	3.57	93.57
859.5	0.00	0.07	0.06	3.27	93.54
860.0	0.00	0.07	0.06	2.99	93.52
860.5	0.00	0.07	0.06	2.75	93.47
861.0	0.00	0.08	0.06	2.54	93.42
861.5	0.00	0.07	0.06	2.36	93.37
862.0	0.00	0.07	0.06	2.18	93.30
862.5	0.00	0.07	0.06	2.02	93.23
863.0	0.00	0.07	0.05	1.86	93.13
863.5	0.00	0.07	0.05	1.72	93.04
864.0	0.00	0.07	0.05	1.60	92.94
864.5	0.00	0.07	0.06	1.49	92.85
865.0	0.00	0.07	0.06	1.39	92.76
865.5	0.00	0.07	0.06	1.30	92.64
866.0	0.00	0.07	0.06	1.20	92.51
866.5	0.00	0.07	0.06	1.12	92.39
867.0	0.00	0.07	0.06	1.04	92.27
867.5	0.00	0.07	0.06	0.98	92.14
868.0	0.00	0.07	0.06	0.92	92.03
868.5	0.00	0.07	0.06	0.86	91.91
869.0	0.00	0.07	0.06	0.80	91.77
869.5	0.00	0.07	0.06	0.75	91.65
870.0	0.00	0.07	0.06	0.71	91.52
870.5	0.00	0.07	0.06	0.67	91.40
871.0	0.00	0.07	0.06	0.63	91.29
871.5	0.00	0.07	0.06	0.59	91.18
872.0	0.00	0.07	0.06	0.56	91.05
872.5	0.00	0.07	0.06	0.52	90.95
873.0	0.00	0.07	0.06	0.49	90.83
873.5	0.00	0.07	0.06	0.47	90.74
874.0	0.00	0.07	0.06	0.44	90.64
874.5	0.00	0.06	0.06	0.42	90.56
875.0	0.00	0.07	0.06	0.40	90.48
875.5	0.00	0.06	0.06	0.38	90.38
876.0	0.00	0.07	0.06	0.36	90.32
876.5	0.00	0.06	0.06	0.34	90.25
877.0	0.00	0.06	0.06	0.32	90.19
877.5	0.00	0.06	0.06	0.31	90.13
878.0	0.00	0.07	0.06	0.29	90.08
878.5	0.00	0.07	0.06	0.28	90.02
879.0	0.00	0.06	0.06	0.27	89.99
879.5	0.00	0.06	0.06	0.26	89.94
880.0	0.00	0.07	0.06	0.25	89.92
880.5	0.00	0.07	0.06	0.23	89.90
881.0	0.00	0.06	0.06	0.22	89.88
881.5	0.00	0.07	0.06	0.21	89.86
882.0	0.00	0.07	0.06	0.20	89.86
882.5	0.00	0.06	0.06	0.19	89.85
883.0	0.00	0.07	0.06	0.19	89.86
883.5	0.00	0.06	0.06	0.18	89.85
884.0	0.00	0.07	0.06	0.17	89.87
884.5	0.00	0.07	0.06	0.17	89.88
885.0	0.00	0.07	0.06	0.16	89.91
885.5	0.00	0.06	0.05	0.15	89.93
886.0	0.00	0.07	0.05	0.15	89.95
886.5	0.00	0.07	0.06	0.15	89.98
887.0	0.00	0.07	0.06	0.14	90.01
887.5	0.00	0.07	0.06	0.14	90.05
888.0	0.00	0.07	0.06	0.13	90.08
888.5	0.00	0.07	0.06	0.13	90.12
889.0	0.00	0.07	0.06	0.12	90.16
889.5	0.00	0.07	0.05	0.12	90.20
890.0	0.00	0.07	0.05	0.12	90.24
890.5	0.00	0.08	0.06	0.11	90.28
891.0	0.00	0.08	0.06	0.11	90.32
891.5	0.00	0.08	0.05	0.11	90.37
892.0	0.00	0.08	0.06	0.10	90.41
892.5	0.00	0.08	0.06	0.10	90.45
893.0	0.00	0.08	0.06	0.10	90.49
893.5	0.00	0.08	0.05	0.10	90.52
894.0	0.00	0.08	0.06	0.09	90.56
894.5	0.00	0.08	0.05	0.09	90.60
895.0	0.00	0.09	0.06	0.09	90.63
895.5	0.00	0.08	0.05	0.08	90.67
896.0	0.00	0.08	0.05	0.08	90.69
896.5	0.00	0.08	0.06	0.08	90.72
897.0	0.00	0.09	0.06	0.08	90.74
897.5	0.00	0.08	0.06	0.08	90.75
898.0	0.00	0.08	0.06	0.08	90.77
898.5	0.00	0.08	0.06	0.07	90.78
899.0	0.00	0.09	0.06	0.07	90.79
899.5	0.00	0.08	0.05	0.07	90.80
900.0	0.00	0.08	0.06	0.07	90.79
900.5	0.00	0.08	0.06	0.07	90.79
901.0	0.00	0.08	0.06	0.07	90.78
901.5	0.00	0.08	0.05	0.07	90.77
902.0	0.00	0.08	0.05	0.07	90.75
902.5	0.00	0.08	0.05	0.06	90.73
903.0	0.00	0.08	0.05	0.06	90.70
903.5	0.00	0.08	0.06	0.06	90.67
904.0	0.00	0.08	0.06	0.06	90.64
904.5	0.00	0.08	0.06	0.06	90.60
905.0	0.00	0.07	0.05	0.06	90.55
905.5	0.00	0.07	0.05	0.06	90.51
906.0	0.00	0.07	0.05	0.06	90.46
906.5	0.00	0.07	0.05	0.06	90.40
907.0	0.00	0.07	0.06	0.06	90.34
907.5	0.00	0.06	0.05	0.06	90.28
908.0	0.00	0.06	0.05	0.05	90.21
908.5	0.00	0.06	0.05	0.06	90.14
909.0	0.00	0.06	0.05	0.05	90.08
909.5	0.00	0.06	0.05	0.05	90.00
910.0	0.00	0.05	0.05	0.05	89.92
910.5	0.00	0.05	0.05	0.05	89.84
911.0	0.00	0.05	0.05	0.05	89.75
911.5	0.00	0.05	0.05	0.05	89.66
912.0	0.00	0.05	0.05	0.05	89.59
912.5	0.00	0.05	0.05	0.05	89.50
913.0	0.00	0.05	0.06	0.05	89.41
913.5	0.00	0.05	0.05	0.05	89.31
914.0	0.00	0.04	0.05	0.05	89.22
914.5	0.00	0.04	0.05	0.05	89.12
915.0	0.00	0.04	0.06	0.05	89.03
915.5	0.00	0.04	0.06	0.05	88.93
916.0	0.00	0.05	0.05	0.04	88.84
916.5	0.00	0.04	0.06	0.04	88.74
917.0	0.00	0.04	0.06	0.04	88.64
917.5	0.00	0.04	0.05	0.04	88.54
918.0	0.00	0.05	0.06	0.04	88.45
918.5	0.00	0.04	0.05	0.05	88.36
919.0	0.01	0.04	0.06	0.04	88.26
919.5	0.01	0.04	0.06	0.05	88.17
920.0	0.01	0.04	0.05	0.04	88.07
920.5	0.01	0.04	0.05	0.04	87.98
921.0	0.01	0.04	0.05	0.04	87.89
921.5	0.01	0.04	0.06	0.04	87.82
922.0	0.01	0.04	0.06	0.04	87.74
922.5	0.01	0.04	0.05	0.04	87.65
923.0	0.01	0.04	0.05	0.04	87.57
923.5	0.01	0.04	0.05	0.04	87.48
924.0	0.01	0.04	0.05	0.04	87.42
924.5	0.01	0.04	0.05	0.04	87.35
925.0	0.02	0.04	0.05	0.04	87.28
925.5	0.02	0.04	0.05	0.04	87.22
926.0	0.02	0.04	0.05	0.04	87.15
926.5	0.02	0.04	0.05	0.04	87.09
927.0	0.02	0.04	0.06	0.04	87.03
927.5	0.02	0.04	0.05	0.04	86.98
928.0	0.03	0.04	0.05	0.04	86.93
928.5	0.03	0.04	0.05	0.04	86.89
929.0	0.03	0.04	0.06	0.04	86.85
929.5	0.03	0.04	0.05	0.04	86.81
930.0	0.03	0.04	0.05	0.04	86.78
930.5	0.04	0.04	0.06	0.04	86.75
931.0	0.04	0.04	0.05	0.04	86.72
931.5	0.04	0.04	0.05	0.04	86.70
932.0	0.04	0.04	0.06	0.04	86.68
932.5	0.05	0.04	0.05	0.04	86.67
933.0	0.05	0.04	0.06	0.04	86.66
933.5	0.05	0.04	0.05	0.04	86.66
934.0	0.05	0.04	0.05	0.04	86.66
934.5	0.05	0.04	0.05	0.04	86.66
935.0	0.05	0.04	0.06	0.04	86.66
935.5	0.06	0.04	0.05	0.04	86.68
936.0	0.06	0.04	0.05	0.04	86.70
936.5	0.06	0.04	0.06	0.04	86.71
937.0	0.06	0.04	0.06	0.04	86.74
937.5	0.07	0.04	0.06	0.04	86.76
938.0	0.07	0.04	0.06	0.04	86.80
938.5	0.08	0.04	0.06	0.04	86.83
939.0	0.08	0.04	0.06	0.04	86.88
939.5	0.08	0.04	0.06	0.04	86.93
940.0	0.09	0.04	0.06	0.04	86.97
940.5	0.10	0.04	0.06	0.03	87.02
941.0	0.10	0.04	0.06	0.04	87.07
941.5	0.11	0.04	0.06	0.04	87.13
942.0	0.11	0.04	0.06	0.04	87.20
942.5	0.12	0.04	0.06	0.04	87.26
